id,entityid,companyname,displayName,isinactive,subsidiary,subsidiaryId
495,SendGrid Twillia e-mail servince,SendGrid Twillia e-mail servince,SendGrid Twillia e-mail servince,false,Patra Group : Opuzen,2
496,"Sewer Inspections & Repairs, INC","Sewer Inspections & Repairs, INC","Sewer Inspections & Repairs, INC",false,Patra Group : Opuzen,2
579,Silk Crafts,Silk Crafts,Silk Crafts,false,Patra Group : Opuzen,2
3841,Sirio Tendaggi,Sirio Tendaggi,Sirio Tendaggi,false,Patra Group : Opuzen,2
3847,Softline Home Fashion,Softline Home Fashion,Softline Home Fashion,false,Patra Group : Opuzen,2
497,Spectrum - DSL- Opuzen,Spectrum - DSL- Opuzen,Spectrum - DSL- Opuzen,false,Patra Group : Opuzen,2
580,Spiral Paper Tube & Core Co. Inc,Spiral Paper Tube & Core Co. Inc,Spiral Paper Tube & Core Co. Inc,false,Patra Group : Opuzen,2
4331,Spradling,Spradling,Spradling,false,Patra Group : Opuzen,2
498,Staples,Staples,Staples,false,Patra Group : Opuzen,2
128,Starr Moore,,Starr Moore,false,Patra Group : Opuzen,2
499,State Board of Equalization,State Board of Equalization,State Board of Equalization,false,Patra Group : Opuzen,2
500,State Farm - Auto Insurance,State Farm - Auto Insurance,State Farm - Auto Insurance,false,Patra Group : Opuzen,2
501,State Farm - Life,State Farm - Life,State Farm - Life,false,Patra Group : Opuzen,2
3831,Stotz,Stotz,Stotz,false,Patra Group : Opuzen,2
4332,Stratum,Stratum,Stratum,false,Patra Group : Opuzen,2
3823,Sunbury Textile Mills,Sunbury Textile Mills,Sunbury Textile Mills,false,Patra Group : Opuzen,2
502,Swavelle -Mill Creek,Swavelle -Mill Creek,Swavelle -Mill Creek,false,Patra Group : Opuzen,2
3825,Swisstulle,Swisstulle,Swisstulle,false,Patra Group : Opuzen,2
503,T-Mobile,T-Mobile,T-Mobile,false,Patra Group : Opuzen,2
504,TaBru,TaBru,TaBru,false,Patra Group : Opuzen,2
581,Tavelmo,Tavelmo,Tavelmo,false,Patra Group : Opuzen,2
2,Tax Agency CA,,Tax Agency CA,false,Patra Group,1
505,Taxi Service,Taxi Service,Taxi Service,false,Patra Group : Opuzen,2
506,TeamViewer GmbH,TeamViewer GmbH,TeamViewer GmbH,false,Patra Group : Opuzen,2
582,"TEK Systems - Allegis Group Holding, Inc","TEK Systems - Allegis Group Holding, Inc","TEK Systems - Allegis Group Holding, Inc",false,Patra Group : Opuzen,2
507,Teksko Kadife,Teksko Kadife,Teksko Kadife,false,Patra Group : Opuzen,2
583,Tempo Fabrics,Tempo Fabrics,Tempo Fabrics,false,Patra Group : Opuzen,2
584,Tendaggi Paradiso,Tendaggi Paradiso,Tendaggi Paradiso,false,Patra Group : Opuzen,2
508,Tessitura di Borgomanero,Tessitura di Borgomanero,Tessitura di Borgomanero,false,Patra Group : Opuzen,2
509,Texao,Texao,Texao,false,Patra Group : Opuzen,2
510,The Gas Co. - 5786 Venice Blvd,The Gas Co. - 5786 Venice Blvd,The Gas Co. - 5786 Venice Blvd,false,Patra Group : Opuzen,2
511,The Home Depot,The Home Depot,The Home Depot,false,Patra Group : Opuzen,2
512,"The SRA Group, Inc","The SRA Group, Inc","The SRA Group, Inc",false,Patra Group : Opuzen,2
513,Thomas Lavin Showroom. Inc,Thomas Lavin Showroom. Inc,Thomas Lavin Showroom. Inc,false,Patra Group : Opuzen,2
514,Thomas Patrick Consulting,Thomas Patrick Consulting,Thomas Patrick Consulting,false,Patra Group : Opuzen,2
515,Threadology,Threadology,Threadology,false,Patra Group : Opuzen,2
4335,Tissage de Kalken,Tissage de Kalken,Tissage de Kalken,false,Patra Group : Opuzen,2
516,Towerstream,Towerstream,Towerstream,false,Patra Group : Opuzen,2
519,TRG Bond - US Customs Bond,TRG Bond - US Customs Bond,TRG Bond - US Customs Bond,false,Patra Group : Opuzen,2
520,Trivantage,Trivantage,Trivantage,false,Patra Group : Opuzen,2
521,True North Dev LLC,True North Dev LLC,True North Dev LLC,false,Patra Group : Opuzen,2
522,ULINE,ULINE,ULINE,false,Patra Group : Opuzen,2
523,Ulster Weavers Inc.,Ulster Weavers Inc.,Ulster Weavers Inc.,false,Patra Group : Opuzen,2
524,Unishippers,Unishippers,Unishippers,false,Patra Group : Opuzen,2
3820,Universal Textile Mills,Universal Textile Mills,Universal Textile Mills,false,Patra Group : Opuzen,2
585,UPS Freight,UPS Freight,UPS Freight,false,Patra Group : Opuzen,2
525,Usalanyards,Usalanyards,Usalanyards,false,Patra Group : Opuzen,2
526,USPS.com,USPS.com,USPS.com,false,Patra Group : Opuzen,2
527,UTM,UTM,UTM,false,Patra Group : Opuzen,2
3845,UTP America,UTP America,UTP America,false,Patra Group : Opuzen,2
528,Valdese Weavers,Valdese Weavers,Valdese Weavers,false,Patra Group : Opuzen,2
586,Vanelli,Vanelli,Vanelli,false,Patra Group : Opuzen,2
529,VB Designs Inc,VB Designs Inc,VB Designs Inc,false,Patra Group : Opuzen,2
4336,Velvetex,Velvetex,Velvetex,false,Patra Group : Opuzen,2
587,Velvetex Srl,Velvetex Srl,Velvetex Srl,false,Patra Group : Opuzen,2
530,"Venice Spaulding, LLC","Venice Spaulding, LLC","Venice Spaulding, LLC",false,Patra Group : Opuzen,2
3832,Verbatex,Verbatex,Verbatex,false,Patra Group : Opuzen,2
4337,Vescom Textiles B.V,Vescom Textiles B.V,Vescom Textiles B.V,false,Patra Group : Opuzen,2
588,Vigano Tessuti E Velluti,Vigano Tessuti E Velluti,Vigano Tessuti E Velluti,false,Patra Group : Opuzen,2
589,Vision Fabrics,Vision Fabrics,Vision Fabrics,false,Patra Group : Opuzen,2
531,WBEC,WBEC,WBEC,false,Patra Group : Opuzen,2
532,Wearbest,Wearbest,Wearbest,false,Patra Group : Opuzen,2
4338,Weave Textiles,Weave Textiles,Weave Textiles,false,Patra Group : Opuzen,2
3835,Weavers Mill,Weavers Mill,Weavers Mill,false,Patra Group : Opuzen,2
533,Wells & Associates,Wells & Associates,Wells & Associates,false,Patra Group : Opuzen,2
129,Wendy Van Gemeren,,Wendy Van Gemeren,false,Patra Group : Opuzen,2
534,Westwood Weavers,Westwood Weavers,Westwood Weavers,false,Patra Group : Opuzen,2
4340,World of Linen,World of Linen,World of Linen,false,Patra Group : Opuzen,2
