id,entityid,companyname,displayName,isinactive,subsidiary,subsidiaryId
355,CMI - Mayer Fabrics,CMI - Mayer Fabrics,CMI - Mayer Fabrics,false,Patra Group : Opuzen,2
356,CodeGuard.com,CodeGuard.com,CodeGuard.com,false,Patra Group : Opuzen,2
357,Colonial Surety Company,Colonial Surety Company,Colonial Surety Company,false,Patra Group : Opuzen,2
358,Commercial Testing Company,Commercial Testing Company,Commercial Testing Company,false,Patra Group : Opuzen,2
359,Converge - Credit Card,Converge - Credit Card,Converge - Credit Card,false,Patra Group : Opuzen,2
361,Cortex,Cortex,Cortex,false,Patra Group : Opuzen,2
362,Cositex,Cositex,Cositex,false,Patra Group : Opuzen,2
363,Costco,Costco,Costco,false,Patra Group : Opuzen,2
364,Covington,Covington,Covington,false,Patra Group : Opuzen,2
4310,Craftex Mills,Craftex Mills,Craftex Mills,false,Patra Group : Opuzen,2
365,Crashplan,Crashplan,Crashplan,false,Patra Group : Opuzen,2
366,"Creative Benefit Strategies, Inc","Creative Benefit Strategies, Inc","Creative Benefit Strategies, Inc",false,Patra Group : Opuzen,2
545,Crestmont Fabrics,Crestmont Fabrics,Crestmont Fabrics,false,Patra Group : Opuzen,2
368,Crypton Global,Crypton Global,Crypton Global,false,Patra Group : Opuzen,2
367,Crypton LLC,Crypton LLC,Crypton LLC,false,Patra Group : Opuzen,2
4311,Currey & Sons,Currey & Sons,Currey & Sons,false,Patra Group : Opuzen,2
118,Cynthia O Hara,,Cynthia O Hara,false,Patra Group : Opuzen,2
546,D'Etoffe,D'Etoffe,D'Etoffe,false,Patra Group : Opuzen,2
547,Danzo,Danzo,Danzo,false,Patra Group : Opuzen,2
119,David Rothschild,David Rothschild,David Rothschild,false,Patra Group : Opuzen,2
369,"Daylight Transport, LLC","Daylight Transport, LLC","Daylight Transport, LLC",false,Patra Group : Opuzen,2
370,De Leo Textiles,De Leo Textiles,De Leo Textiles,false,Patra Group : Opuzen,2
371,Decorator's Express,Decorator's Express,Decorator's Express,false,Patra Group : Opuzen,2
372,Dekortex,Dekortex,Dekortex,false,Patra Group : Opuzen,2
373,DELL,DELL,DELL,false,Patra Group : Opuzen,2
374,Deltracon,Deltracon,Deltracon,false,Patra Group : Opuzen,2
548,Devantex,Devantex,Devantex,false,Patra Group : Opuzen,2
549,"DHL Express (USA), Inc - Custom","DHL Express (USA), Inc - Custom","DHL Express (USA), Inc - Custom",false,Patra Group : Opuzen,2
375,"Diane Cote Associates, LLC","Diane Cote Associates, LLC","Diane Cote Associates, LLC",false,Patra Group : Opuzen,2
4303,Dicey Fabrics,Dicey Fabrics,Dicey Fabrics,false,Patra Group : Opuzen,2
376,"Digifab Systems, Inc","Digifab Systems, Inc","Digifab Systems, Inc",false,Patra Group : Opuzen,2
591,Dilhan,Dilhan,Dilhan,false,Patra Group : Opuzen,2
377,Diversified Testing Laboratories,Diversified Testing Laboratories,Diversified Testing Laboratories,false,Patra Group : Opuzen,2
378,DMV Renewal,DMV Renewal,DMV Renewal,false,Patra Group : Opuzen,2
379,Dorell,Dorell,Dorell,false,Patra Group : Opuzen,2
380,doTerra Essential Oils,doTerra Essential Oils,doTerra Essential Oils,false,Patra Group : Opuzen,2
381,Doug Volk Services,Doug Volk Services,Doug Volk Services,false,Patra Group : Opuzen,2
