opms_vendor_id,opms_vendor_name,active,archived,netsuite_vendor_id,netsuite_vendor_name,status,,,
224,Europatex,Y,N,389,Europatex,✅ Already matches,,,
103,Jaipuria Silk Mills,Y,N,427,Jaipuria Silk Mills,✅ Already matches,,,
104,Marteks,Y,N,565,Marteks,✅ Already matches,,,
223,BoltaFlex,Y,N,347,Boltaflex,✅ Already matches,,,
106,Charles Martel,Y,N,4308,Charles Martel,✅ Already matches,,,
107,Jacquard Fabrics,Y,N,4321,Jacquard Fabrics,✅ Already matches,,,
108,L'Interno,Y,N,4300,L'Interno,✅ Already matches,,,
109,Giber S.P.A.,Y,N,4317,Giber S.P.A.,✅ Already matches,,,
220,Teksko Kadife ,Y,N,507,Teksko Kadife,✅ Already matches,,,
111,Beijing Shengyiran Weaving,Y,N,3822,Beijing Shengyiran Weaving,✅ Already matches,,,
112,Rothbock,Y,N,578,Rothbock,✅ Already matches,,,
113,Lindsay & Hall,Y,N,562,Lindsay & Hall,✅ Already matches,,,
114,Kaslen Textiles,Y,N,557,Kaslen Textiles,✅ Already matches,,,
115,Rossini della Quercia,Y,N,577,Rossini della Quercia,✅ Already matches,,,
116,P/K Lifestyles,Y,N,573,P/K Lifestyles,✅ Already matches,,,
117,Nassimi Textiles,Y,N,569,Nassimi Textiles,✅ Already matches,,,
118,Mitchell Fabrics,Y,N,454,Mitchell Fabrics,✅ Already matches,,,
119,Luilor Spa,Y,N,563,Luilor Spa,✅ Already matches,,,
120,Muller Zell GmbH,Y,N,4326,Muller Zell GmbH,✅ Already matches,,,
121,Outdura,Y,N,572,Outdura,✅ Already matches,,,
122,Holland & Sherry,Y,N,3819,Holland & Sherry,✅ Already matches,,,
123,Lampe Textiles,Y,N,3821,Lampe Textiles,✅ Already matches,,,
124,Nardes,Y,N,568,Nardes,✅ Already matches,,,
126,Fibertex,Y,N,553,Fibertex,✅ Already matches,,,
127,B&T Textilia,Y,N,539,B&T Textilia,✅ Already matches,,,
218,Blue Kompany,Y,N,346,Blue Kompany,✅ Already matches,,,
130,David Rothschild,Y,N,119,David Rothschild,✅ Already matches,,,
131,Dicey Fabrics,Y,N,4303,Dicey Fabrics,✅ Already matches,,,
132,Golding Fabrics,Y,N,4319,Golding Fabrics,✅ Already matches,,,
133,Cositex,Y,N,362,Cositex,✅ Already matches,,,
134,Weave Textiles,Y,N,4338,Weave Textiles,✅ Already matches,,,
217,Elvin Fabrics,Y,N,387,Elvin Fabrics,✅ Already matches,,,
136,Prosetex,Y,N,3833,Prosetex,✅ Already matches,,,
137,Danzo,Y,N,547,Danzo,✅ Already matches,,,
269,Dreamtex Intl,Y,N,3848,Dreamtex Intl,✅ Already matches,,,
2,Dekortex,Y,N,372,Dekortex,✅ Already matches,,,
214,Moygashel,Y,N,4302,Moygashel,✅ Already matches,,,
142,Ambience Textiles,Y,N,3851,Ambience Textiles,✅ Already matches,,,
143,Atelier,Y,N,360,Atelier,✅ Already matches,,,
144,Advantage Fabric,Y,N,3849,Advantage Fabric,✅ Already matches,,,
145,Alois Tessitura Serica,Y,N,4305,Alois Tessitura Serica,✅ Already matches,,,
209,Covington,Y,N,364,Covington,✅ Already matches,,,
207,Harmel Home ,Y,N,416,Harmel Home,✅ Already matches,,,
205,Anne Kirk Textiles,Y,N,590,Anne Kirk Textiles,✅ Already matches,,,
203,Vanelli,Y,N,586,Vanelli,✅ Already matches,,,
202,Hanes,Y,N,414,Hanes,✅ Already matches,,,
201,Leslie Jee Textiles,Y,N,438,Leslie Jee Textiles,✅ Already matches,,,
198,Spradling,Y,N,4331,Spradling,✅ Already matches,,,
197,Himatsingka,Y,N,419,Himatsingka,✅ Already matches,,,
195,Westwood Weavers,Y,N,534,Westwood Weavers,✅ Already matches,,,
155,Lino Textil,Y,N,4298,Lino Textil,✅ Already matches,,,
193,Radiate Textiles,Y,N,483,Radiate Textiles,✅ Already matches,,,
189,Babai,Y,N,4307,Babai,✅ Already matches,,,
188,Velvetex,Y,N,4336,Velvetex,✅ Already matches,,,
159,Guilford of Maine,Y,N,412,Guilford of Maine,✅ Already matches,,,
160,Harper Home,Y,N,417,Harper Home,✅ Already matches,,,
185,Sirio Tendaggi,Y,N,3841,Sirio Tendaggi,✅ Already matches,,,
164,Babai,Y,N,4307,Babai,✅ Already matches,,,
183,Caravelle,Y,N,3853,Caravelle,✅ Already matches,,,
166,UTP America,Y,N,3845,UTP America,✅ Already matches,,,
167,Belo Fluweelweefsels,Y,N,541,Belo Fluweelweefsels,✅ Already matches,,,
168,Mayer Fabrics,Y,N,4324,Mayer Fabrics,✅ Already matches,,,
182,Nelen & Delbeke,Y,N,4327,Nelen & Delbeke,✅ Already matches,,,
170,Trivantage,Y,N,520,Trivantage,✅ Already matches,,,
181,Pozzi Arturo,Y,N,480,Pozzi Arturo,✅ Already matches,,,
179,King Textiles,Y,N,321,King Textiles,✅ Already matches,,,
178,Albatros,Y,N,4304,Albatros,✅ Already matches,,,
177,Currey & Sons,Y,N,4311,Currey & Sons,✅ Already matches,,,
6,S. Harris,Y,N,489,NULL,❌ No mapping,,,"Updated OPMS Name to S. Harris & Co, Inc"
271,SKYE MODA,Y,N,4399,NULL,❌ No mapping,,,
174,Raymakers,Y,N,4400,NULL,❌ No mapping,,,
173,Tempofabrics,Y,N,583,NULL,❌ No mapping,,,Updated OPMS Name to Tempo Fabrics
172,Claridge Textiles,Y,N,4401,NULL,❌ No mapping,,,
169,Parthenon Prints,Y,N,NULL,NULL,❌ No mapping,,,
165,LA Fred's Fabric Inc,Y,N,NULL,NULL,❌ No mapping,,,
184,Bartolini,Y,N,4403,NULL,❌ No mapping,,,
163,Penelope,Y,N,4404,NULL,❌ No mapping,,,
187,Wimpheimer,Y,N,4405,NULL,❌ No mapping,,,
158,Tommy Bahama Homes,Y,N,NULL,NULL,❌ No mapping,,,
157,Marvin Jacobs,Y,N,NULL,NULL,❌ No mapping,,,
190,Stotz Architects of Fabrics,Y,N,3831,NULL,❌ No mapping,,,
192,Foster,Y,N,NULL,NULL,❌ No mapping,,,
156,Lullaby,Y,N,NULL,NULL,❌ No mapping,,,
194,J&L Fabrics Inc,Y,N,NULL,NULL,❌ No mapping,,,
154,Katerina Tana Collection,Y,N,NULL,NULL,❌ No mapping,,,
196,Ultrafabric,Y,N,4407,NULL,❌ No mapping,,,
153,Innovation Textile CO. ,Y,N,NULL,NULL,❌ No mapping,,,
152,Imatex,Y,N,NULL,NULL,❌ No mapping,,,
199,The Isle Mill,Y,N,NULL,NULL,❌ No mapping,,,
151,Gilman,Y,N,NULL,NULL,❌ No mapping,,,
150,Delano House,Y,N,NULL,NULL,❌ No mapping,,,
149,Climatex,Y,N,NULL,NULL,❌ No mapping,,,
204,Torri Lana,Y,N,4410,NULL,❌ No mapping,,,
148,Braemore,Y,N,NULL,NULL,❌ No mapping,,,
206,Vino Kadife,Y,N,NULL,NULL,❌ No mapping,,,
147,Bimitex,Y,N,NULL,NULL,❌ No mapping,,,
208,Sterling Decor Concepts,Y,N,NULL,NULL,❌ No mapping,,,
146,Baumann,Y,N,NULL,NULL,❌ No mapping,,,
210,Boltaflex,Y,N,347,NULL,❌ No mapping,,,
211,Boyteks,Y,N,NULL,NULL,❌ No mapping,,,
212,Abercrombie Textiles,Y,N,NULL,NULL,❌ No mapping,,,
213,Cortex formally Cortech,Y,N,361,NULL,❌ No mapping,,Updated OPMS name to Cortex,
139,Roc - Lon,Y,N,4411,NULL,❌ No mapping,,,
215,Winchester Fabrics,Y,N,4412,NULL,❌ No mapping,,,
216,Lady Fabrics,Y,N,4413,NULL,❌ No mapping,,,
135,Stone Harbour,Y,N,4398,NULL,❌ No mapping,,,
128,O Sullivan,Y,N,4414,NULL,❌ No mapping,,,
219,Joseph Nobel ,Y,N,NULL,NULL,❌ No mapping,,,
110,Fisher Textiles,Y,N,NULL,NULL,❌ No mapping,,,
221,Devantex,Y,N,548,NULL,❌ No mapping,,,
222,DTN Textiles,Y,N,NULL,NULL,❌ No mapping,,,
105,Noble Collections,Y,N,NULL,NULL,❌ No mapping,,,
102,Swavelle,Y,N,502,NULL,❌ No mapping,,Updated OPMS name to Swavelle - Mill Creek,
225,Ambience Textiles,Y,N,3851,NULL,❌ No mapping,,,
226,Testingggg,Y,N,NULL,NULL,❌ No mapping,,,
227,Rioma,Y,N,4416,NULL,❌ No mapping,,,
